Landlab version,1.7.0+28.g08c44c34,
Disturbance rate parameter (1/yr),Weathering rate parameter (1/yr),Gradient (m/m),Slope angle (deg)
0.00063095734448,0.001,0.802852643137,38.7593308918
0.000794328234724,0.001,0.745847532364,36.7173258251
0.001,0.001,0.674089160238,33.9834827031
0.00125892541179,0.001,0.625578332184,32.0292051448
0.00158489319246,0.001,0.58384925786,30.2784875629
0.00199526231497,0.001,0.580970140174,30.1553086777
0.00251188643151,0.001,0.560303902313,29.2620800393
0.00316227766017,0.001,0.5490519187,28.7690718212
0.00398107170553,0.001,0.555368219488,29.0464013822
0.00501187233627,0.001,0.549744266403,28.799543042
0.0063095734448,0.001,0.547253978608,28.6898587317
0.00794328234724,0.001,0.540451300226,28.3890623348
0.01,0.001,0.538112040478,28.2852297199
0.0125892541179,0.001,0.551972235379,28.8974783095
0.0158489319246,0.001,0.546959822575,28.6768874684
0.0199526231497,0.001,0.552986602555,28.9420059419
0.0251188643151,0.001,0.550180844757,28.8187483304
0.0316227766017,0.001,0.288675134595,16.102113752
0.0398107170553,0.001,0.556750323299,29.1068876325
0.0501187233627,0.001,0.288675134595,16.102113752
0.063095734448,0.001,0.547032838671,28.6801075254
0.0794328234724,0.001,0.288675134595,16.102113752
0.1,0.001,0.288675134595,16.102113752
0.0001,0.01,1.33665868155,53.1985832451
0.000125892541179,0.01,1.24044934257,51.1256469226
0.000158489319246,0.01,1.19381415122,50.0487306353
0.000199526231497,0.01,1.12391993172,48.3391319768
0.000251188643151,0.01,1.03714846032,46.0447025109
0.000316227766017,0.01,0.952913941335,43.6188281067
0.000398107170553,0.01,0.85007229913,40.3669413843
0.000501187233627,0.01,0.775141929019,37.7807644309
0.00063095734448,0.01,0.69283291223,34.7154913215
0.000794328234724,0.01,0.62786132818,32.1231225274
0.001,0.01,0.582858443758,30.2361318263
0.00125892541179,0.01,0.516536283836,27.3179946078
0.00158489319246,0.01,0.495675841217,26.3665037116
0.00199526231497,0.01,0.471997277093,25.2671829134
0.00251188643151,0.01,0.447380352941,24.1028041386
0.00316227766017,0.01,0.42376271728,22.9654198937
0.00398107170553,0.01,0.411691242708,22.3765360283
0.00501187233627,0.01,0.406179901626,22.1060008721
0.0063095734448,0.01,0.386033780213,21.1082727515
0.00794328234724,0.01,0.406339536068,22.1138515254
0.01,0.01,0.408037603731,22.1973065696
0.0125892541179,0.01,0.383850849743,20.9993415576
0.0158489319246,0.01,0.395845541605,21.5959151773
