Run name,Slip interval,Weathering rate parameter,Slope angle,Slope gradient,Intercept,Height of right column
tau38w-38,6309.573444801937,0.00015848931924611126,31.9738690679,0.624235383552,-0.117818889971,42.0,42.0
tau20w-44,100.0,3.9810717055349695e-05,59.4785745673,1.69621236583,0.595910418695,110.0,110.0
tau34w-44,2511.886431509582,3.9810717055349695e-05,53.4945051205,1.35115141625,1.18208373905,91.0,91.0
tau38w-30,6309.573444801937,0.001,28.6225385192,0.545728114718,0.55111976631,36.0,36.0
tau22w-44,158.48931924611142,3.9810717055349695e-05,59.3426143606,1.68704896818,0.622200584226,110.0,110.0
tau36w-44,3981.0717055349733,3.9810717055349695e-05,51.407714698,1.25302435735,0.593962999026,83.0,83.0
tau34w-42,2511.886431509582,6.309573444801929e-05,50.9916423828,1.23452891056,0.0321324245375,85.0,85.0
tau20w-42,100.0,6.309573444801929e-05,59.4374013645,1.69342961624,0.350535540409,110.0,110.0
tau40w-50,10000.0,1e-05,53.6410479775,1.35840343034,1.08276533593,95.0,95.0
tau24w-42,251.18864315095823,6.309573444801929e-05,58.8369154863,1.6535997559,0.565725413827,110.0,110.0
tau30w-42,1000.0,6.309573444801929e-05,56.346821739,1.50209450025,0.548198636806,102.0,102.0
tau32w-44,1584.893192461114,3.9810717055349695e-05,55.9065743345,1.47735894831,0.0886075949367,99.0,99.0
tau26w-44,398.1071705534973,3.9810717055349695e-05,58.8657859922,1.65548303088,0.601752677702,110.0,110.0
tau40w-32,10000.0,0.000630957344480193,27.9355939144,0.530268394755,1.70691333982,36.0,36.0
tau28w-30,630.9573444801937,0.001,38.2776886573,0.78912032411,0.0438169425511,55.0,55.0
tau30w-44,1000.0,3.9810717055349695e-05,57.6012411297,1.57582331019,0.310613437196,108.0,108.0
tau24w-44,251.18864315095823,3.9810717055349695e-05,59.1696391114,1.67549634108,0.667964946446,110.0,110.0
tau28w-38,630.9573444801937,0.00015848931924611126,54.6422445987,1.40933618047,0.179162609542,97.0,97.0
tau26w-42,398.1071705534973,6.309573444801929e-05,58.5670173592,1.63614432663,0.398247322298,110.0,110.0
tau32w-42,1584.893192461114,6.309573444801929e-05,53.8169125141,1.36717330784,1.24732229796,94.0,94.0
tau40w-34,10000.0,0.0003981071705534969,28.3450819224,0.539459900988,1.57838364167,37.0,37.0
tau28w-36,630.9573444801937,0.00025118864315095795,51.024160646,1.23596244822,1.02044790652,83.0,83.0
